variant,algorithm,configuration,k,n_clusters,noise_share,min_cluster_share,silhouette,davies_bouldin,calinski_harabasz,eligible,initialization_stability_ari_mean,initialization_stability_nmi_mean,ahc_subsample_stability_ari_mean,ahc_subsample_stability_nmi_mean,cluster_persistence,min_cluster_size,min_samples,cluster_selection_method,relative_validity_dbcv
primary,AHC,k=9,9.0,9,0.0,0.023175305317819,0.0875193251545294,1.971492734012926,988.723322348855,True,,,0.4888681808316502,0.608744978051088,,,,,
primary,AHC,k=10,10.0,10,0.0,0.023175305317819,0.0828836774596926,1.9992400724382224,929.7434556178916,True,,,0.4961081502285221,0.629957350408766,,,,,
primary,HDBSCAN,mcs=50;ms=5;method=eom,,2,0.3024329262429079,0.0114434080200019,0.2726710765659351,1.0758638536828675,270.7519325748274,False,,,,,0.0495453845493463,50.0,5.0,eom,0.0001180376143314
primary,HDBSCAN,mcs=50;ms=5;method=leaf,,7,0.85950572170401,0.0065390902971439,0.2341258853779527,1.3494585191503674,359.99096542342784,False,,,,,0.0713870650846454,50.0,5.0,leaf,0.047149246437189
primary,HDBSCAN,mcs=50;ms=10;method=eom,,2,0.4523511876141937,0.0061544379267237,0.2929965583603471,0.9722982046998614,164.94870779640877,False,,,,,0.0283293006395892,50.0,10.0,eom,4.053020986690022e-05
primary,HDBSCAN,mcs=50;ms=10;method=leaf,,6,0.8833541686700644,0.0049043177228579,0.248126425308105,1.341205273576697,286.52537512253014,False,,,,,0.0564037238049592,50.0,10.0,leaf,0.048642243489974
primary,HDBSCAN,mcs=50;ms=25;method=eom,,4,0.8771035676507356,0.0168285412058851,0.235788618473662,1.463403517462439,377.8543408252166,False,,,,,0.060380146868355,50.0,25.0,eom,0.0002415685430741
primary,HDBSCAN,mcs=50;ms=25;method=leaf,,4,0.8771035676507356,0.0168285412058851,0.235788618473662,1.463403517462439,377.8543408252166,False,,,,,0.060380146868355,50.0,25.0,leaf,0.0002415685430741
primary,HDBSCAN,mcs=50;ms=50;method=eom,,3,0.8572939705740936,0.0214443696509279,0.2542471974579323,1.3257725345945526,571.2171665745951,False,,,,,0.06212708646981,50.0,50.0,eom,4.859187785893446e-05
primary,HDBSCAN,mcs=50;ms=50;method=leaf,,3,0.8572939705740936,0.0214443696509279,0.2542471974579323,1.3257725345945526,571.2171665745951,False,,,,,0.06212708646981,50.0,50.0,leaf,4.859187785893446e-05
primary,HDBSCAN,mcs=100;ms=5;method=eom,,2,0.3024329262429079,0.0114434080200019,0.2726710765659351,1.0758638536828675,270.7519325748274,False,,,,,0.0324053696199326,100.0,5.0,eom,0.0001180376143314
primary,HDBSCAN,mcs=100;ms=5;method=leaf,,5,0.7345898644100394,0.0114434080200019,0.1738128902689565,1.5833130426996926,483.8040314362534,False,,,,,0.0856088470632659,100.0,5.0,leaf,0.0003206520768288
primary,HDBSCAN,mcs=100;ms=10;method=eom,,4,0.8167131454947592,0.0177901721319357,0.2034360076007387,1.5498435353624092,445.3295465672881,False,,,,,0.0828392362849171,100.0,10.0,eom,0.0420428445847053
