matcher,context_scenario,armed_with,threat_type,flee_status,body_camera,closest_cluster,first_distance,second_distance,first_vs_second_margin,distance_cluster_0,distance_cluster_1,distance_cluster_2,distance_cluster_3
Original four-input matcher,Neutral reference,Blunt Object,Shoot,Foot,False,3,2.2835000956808806,2.2898020013977396,0.006301905716858958,2.56349703901352,2.2898020013977396,2.746167695769199,2.2835000956808806
Original four-input matcher,Neutral reference,Blunt Object,Shoot,Foot,True,3,2.4037165866158228,2.4624090142966883,0.05869242768086558,2.674941968975311,2.4624090142966883,2.862569868368623,2.4037165866158228
Original four-input matcher,Neutral reference,Blunt Object,Shoot,Missing,False,3,2.2714111237215584,2.2811858825800613,0.009774758858502874,2.5718777272091744,2.2811858825800613,2.752839557694503,2.2714111237215584
Original four-input matcher,Neutral reference,Blunt Object,Shoot,Missing,True,3,2.3922351963725186,2.4543989037984573,0.062163707425938686,2.6829745641860003,2.4543989037984573,2.868971046980661,2.3922351963725186
Original four-input matcher,Neutral reference,Blunt Object,Shoot,Not Fleeing,False,1,2.1908770437887943,2.1935826692040177,0.002705625415223345,2.486596597490501,2.1908770437887943,2.676163473359978,2.1935826692040177
Original four-input matcher,Neutral reference,Blunt Object,Shoot,Not Fleeing,True,3,2.3184662318933293,2.3706976123253725,0.05223138043204312,2.6013381377679003,2.3706976123253725,2.795482100488534,2.3184662318933293
Original four-input matcher,Neutral reference,Blunt Object,Shoot,Vehicle,False,3,2.267388114960636,2.2680424803990658,0.0006543654384296715,2.5606314699166077,2.2680424803990658,2.736816950892706,2.267388114960636
Original four-input matcher,Neutral reference,Blunt Object,Shoot,Vehicle,True,3,2.38841571039511,2.442187879950935,0.05377216955582487,2.6721959121819117,2.442187879950935,2.8536005783394587,2.38841571039511
Original four-input matcher,Neutral reference,Blunt Object,Threat,Foot,False,3,2.281625185220693,2.3032098760974944,0.02158469087680137,2.580819829643619,2.3032098760974944,2.7399946345717514,2.281625185220693
Original four-input matcher,Neutral reference,Blunt Object,Threat,Foot,True,3,2.401935516959353,2.4748819530307964,0.07294643607144335,2.691547595981938,2.4748819530307964,2.856648356988943,2.401935516959353
Original four-input matcher,Neutral reference,Blunt Object,Threat,Missing,False,3,2.269526226291471,2.29464410282521,0.025117876533739203,2.5891444470645633,2.29464410282521,2.7466814912915076,2.269526226291471
Original four-input matcher,Neutral reference,Blunt Object,Threat,Missing,True,3,2.39044557219407,2.466912342730282,0.07646677053621209,2.6995307807320317,2.466912342730282,2.8630627748285544,2.39044557219407
Original four-input matcher,Neutral reference,Blunt Object,Threat,Not Fleeing,False,3,2.191630836954754,2.204886561424117,0.013255724469363184,2.504451349637675,2.204886561424117,2.6698285563574706,2.191630836954754
Original four-input matcher,Neutral reference,Blunt Object,Threat,Not Fleeing,True,3,2.316619620759616,2.3836504980456263,0.06703087728601043,2.618410592526772,2.3836504980456263,2.789418175596384,2.316619620759616
Original four-input matcher,Neutral reference,Blunt Object,Threat,Vehicle,False,3,2.2654998703870013,2.2815782302263243,0.016078359839323042,2.577973515918641,2.2815782302263243,2.7306227507455736,2.2654998703870013
Original four-input matcher,Neutral reference,Blunt Object,Threat,Vehicle,True,3,2.386623222153206,2.4547635667671095,0.06814034461390328,2.6888184983617527,2.4547635667671095,2.847660416007317,2.386623222153206
Original four-input matcher,Neutral reference,Blunt Object,Unclear Threat,Foot,False,3,2.3271869758354455,2.3400679208988757,0.012880945063430183,2.616766408397909,2.3400679208988757,2.780551246659461,2.3271869758354455
Original four-input matcher,Neutral reference,Blunt Object,Unclear Threat,Foot,True,3,2.4452566250386805,2.509219564427251,0.06396293938857056,2.7260344650194948,2.509219564427251,2.8955715279207186,2.4452566250386805
Original four-input matcher,Neutral reference,Blunt Object,Unclear Threat,Missing,False,3,2.3153261166603656,2.3316375575327886,0.016311440872422978,2.6249770305286932,2.3316375575327886,2.787140802403215,2.3153261166603656
Original four-input matcher,Neutral reference,Blunt Object,Unclear Threat,Missing,True,3,2.433971192986269,2.501359359984479,0.06738816699821015,2.733916948109007,2.501359359984479,2.9018999104770105,2.433971192986269
Original four-input matcher,Neutral reference,Blunt Object,Unclear Threat,Not Fleeing,False,3,2.2390246671610745,2.2433606241118746,0.004335956950800135,2.5414783110898163,2.2433606241118746,2.7114348891609614,2.2390246671610745
Original four-input matcher,Neutral reference,Blunt Object,Unclear Threat,Not Fleeing,True,3,2.361506341713524,2.4192833314641167,0.057776989750592644,2.653848050302499,2.4192833314641167,2.8292664060079176,2.361506341713524
Original four-input matcher,Neutral reference,Blunt Object,Unclear Threat,Vehicle,False,3,2.311379544209104,2.3187801451861794,0.007400600977075289,2.613959236831343,2.3187801451861794,2.7713165183188333,2.311379544209104
Original four-input matcher,Neutral reference,Blunt Object,Unclear Threat,Vehicle,True,3,2.4302173028734932,2.489378699554195,0.05916139668070164,2.7233399273998695,2.489378699554195,2.886704779279042,2.4302173028734932
Original four-input matcher,Neutral reference,Gun,Accident,Foot,False,3,2.2225902989633326,2.2251724146021625,0.0025821156388299293,2.5047545887858442,2.2251724146021625,2.699002907267206,2.2225902989633326
Original four-input matcher,Neutral reference,Gun,Accident,Foot,True,3,2.3459301734798816,2.402427360564917,0.05649718708503526,2.6187006355057414,2.402427360564917,2.817354420629835,2.3459301734798816
Original four-input matcher,Neutral reference,Gun,Accident,Missing,False,3,2.2101681933819783,2.2163050557141037,0.0061368623321254034,2.51333116097487,2.2163050557141037,2.705791069273122,2.2101681933819783
Original four-input matcher,Neutral reference,Gun,Accident,Missing,True,3,2.334164558216663,2.394216583366758,0.06005202515009511,2.6269052120473853,2.394216583366758,2.8238580963929167,2.334164558216663
Original four-input matcher,Neutral reference,Gun,Accident,Not Fleeing,False,1,2.123238396907434,2.1301032549394288,0.006864858031994547,2.4259928111319695,2.123238396907434,2.6277424942898535,2.1301032549394288
Original four-input matcher,Neutral reference,Gun,Accident,Not Fleeing,True,3,2.2584996388091323,2.3083340828802372,0.04983444407110493,2.5434697930225996,2.3083340828802372,2.749163482643821,2.2584996388091323
Original four-input matcher,Neutral reference,Gun,Accident,Vehicle,False,1,2.2027745599575255,2.2060335024509654,0.0032589424934399425,2.5018217374025564,2.2027745599575255,2.689488186039152,2.2060335024509654
